question,answer,audio
You must work a lot,du musst viel arbeiten,FALSE
is it dangerous to go for a walk at night?,"Ist es gefahrlich, nachts spazieren zu gehen?",FALSE
We are coming soon,Wir kommen gleich,FALSE
Can you show me on the map?,Konnen Sie mir das auf der Karte zeigen?,FALSE
Please clean my room,Wurden Sie bitte mein Zimmer saubermachen?,FALSE
Would you like to go for a walk?,Mochten Sie spazieren gehen?,FALSE
Where can one park here?,Wo kann man hier parken?,FALSE
Could you recommend something?,Konnen Sie mir etwas empfehlen?,FALSE
I am currently reading this book,Ich lese gerade dieses Buch,FALSE
"Please, feel right at home",Fuhlen Sie sich wie zu Hause,FALSE
What would you like to drink?,Was mochten Sie trinken?,FALSE
I don�t understand the meaning,Ich verstehe die Bedeutung nicht,FALSE
I don�t want to arrive late,Ich will nicht spat kommen,FALSE
What do you want to do?,Was wollt ihr?,FALSE
That looks great,Das sieht grossartig aus,FALSE
What time did you get up?,Um wieviel Uhr stehst du auf?,FALSE
"No, I do not mean that","Nein, das meine ich nicht",FALSE
What do I have to do?,Was habe ich an?,FALSE
"Come on, wake up, little fish","Na los, wach auf, kleiner Fisch",FALSE
That must be good,Das muss gut sein,FALSE
Can you walk a bit faster?,Kannst du ein bisschen schneller laufen?,4.14.21.1
Come on in for a moment,Komm doch ein Moment rein,4.15.21.1
I�m even going to Frankfurt,Ich gehe sogar nach Frankfurt,4.17.21.2
The people say you are working now,Die Leute sagen du arbeitest jetzt,4.17.21.1
But you do not want to leave the child with the old man,Aber du willst doch die Kleine nicht etwa bei der alten griesgram da um allein lassen  ,4.17.21.3
I found a job in frankfurt and now the grandfather has to take care of her,Ich habe ein arbeit in Frankfurt gefunden und jetzt muss sich der Grossvater um sie kummern,4.17.21.4
"I can understand you, but still I don't think it's right about her",Ich kann dich ja verstehen aber trotzdem ich finde es nicht richtig von ihr,FALSE
